Name,sample_size,power
"Midpoint of darkest 5 hours (L5, hh:mm)",12,0.249
"Midpoint of darkest 5 hours (L5, hh:mm)",13,0.262
"Midpoint of darkest 5 hours (L5, hh:mm)",14,0.273
"Midpoint of darkest 5 hours (L5, hh:mm)",15,0.267
"Midpoint of darkest 5 hours (L5, hh:mm)",16,0.251
"Midpoint of darkest 5 hours (L5, hh:mm)",17,0.269
"Midpoint of darkest 5 hours (L5, hh:mm)",18,0.23
"Midpoint of darkest 5 hours (L5, hh:mm)",19,0.271
"Midpoint of darkest 5 hours (L5, hh:mm)",20,0.246
"Midpoint of darkest 5 hours (L5, hh:mm)",21,0.246
"Midpoint of darkest 5 hours (L5, hh:mm)",22,0.242
"Midpoint of darkest 5 hours (L5, hh:mm)",23,0.244
"Midpoint of darkest 5 hours (L5, hh:mm)",24,0.242
"Midpoint of darkest 5 hours (L5, hh:mm)",25,0.243
"Midpoint of darkest 5 hours (L5, hh:mm)",26,0.255
"Midpoint of darkest 5 hours (L5, hh:mm)",27,0.247
"Midpoint of darkest 5 hours (L5, hh:mm)",28,0.219
"Midpoint of darkest 5 hours (L5, hh:mm)",29,0.23
"Midpoint of darkest 5 hours (L5, hh:mm)",30,0.247
"Midpoint of darkest 5 hours (L5, hh:mm)",31,0.224
"Midpoint of darkest 5 hours (L5, hh:mm)",32,0.255
"Midpoint of darkest 5 hours (L5, hh:mm)",33,0.217
"Midpoint of darkest 5 hours (L5, hh:mm)",34,0.239
"Midpoint of darkest 5 hours (L5, hh:mm)",35,0.25
"Midpoint of darkest 5 hours (L5, hh:mm)",36,0.26
"Midpoint of darkest 5 hours (L5, hh:mm)",37,0.232
"Midpoint of darkest 5 hours (L5, hh:mm)",38,0.249
"Midpoint of darkest 5 hours (L5, hh:mm)",39,0.247
"Midpoint of darkest 5 hours (L5, hh:mm)",40,0.246
"Midpoint of darkest 5 hours (L5, hh:mm)",41,0.246
"Midpoint of darkest 5 hours (L5, hh:mm)",42,0.248
"Midpoint of darkest 5 hours (L5, hh:mm)",43,0.228
"Midpoint of darkest 5 hours (L5, hh:mm)",44,0.269
"Midpoint of darkest 5 hours (L5, hh:mm)",45,0.222
"Midpoint of darkest 5 hours (L5, hh:mm)",46,0.244
"Midpoint of darkest 5 hours (L5, hh:mm)",47,0.278
"Midpoint of darkest 5 hours (L5, hh:mm)",48,0.265
"Midpoint of darkest 5 hours (L5, hh:mm)",49,0.248
"Midpoint of darkest 5 hours (L5, hh:mm)",50,0.253
Time above 1000 lx (h),3,0.975
Time above 1000 lx (h),4,0.99
Time above 1000 lx (h),5,0.997
Time above 1000 lx (h),6,0.999
Time above 1000 lx (h),7,1
Time above 1000 lx (h),8,1
Time above 1000 lx (h),9,1
Time above 1000 lx (h),10,1
Time above 1000 lx (h),11,1
Time above 1000 lx (h),12,1
Time above 1000 lx (h),13,1
Time above 1000 lx (h),14,1
Time above 1000 lx (h),15,1
Time above 1000 lx (h),16,1
Time above 1000 lx (h),17,1
Time above 1000 lx (h),18,1
Time above 1000 lx (h),19,1
Time above 1000 lx (h),20,1
Time above 1000 lx (h),21,1
Time above 1000 lx (h),22,1
Time above 1000 lx (h),23,1
Time above 1000 lx (h),24,1
Time above 1000 lx (h),25,1
Time above 1000 lx (h),26,1
Time above 1000 lx (h),27,1
Time above 1000 lx (h),28,1
Time above 1000 lx (h),29,1
Time above 1000 lx (h),30,1
Time above 1000 lx (h),31,1
Time above 1000 lx (h),32,1
Time above 1000 lx (h),33,1
Time above 1000 lx (h),34,1
Time above 1000 lx (h),35,1
Time above 1000 lx (h),36,1
Time above 1000 lx (h),37,1
Time above 1000 lx (h),38,1
Time above 1000 lx (h),39,1
Time above 1000 lx (h),40,1
Time above 1000 lx (h),41,1
Time above 1000 lx (h),42,1
Time above 1000 lx (h),43,1
Time above 1000 lx (h),44,1
Time above 1000 lx (h),45,1
Time above 1000 lx (h),46,1
Time above 1000 lx (h),47,1
Time above 1000 lx (h),48,1
Time above 1000 lx (h),49,1
Time above 1000 lx (h),50,1
Time above 250 lx (h),3,1
Time above 250 lx (h),4,1
Time above 250 lx (h),5,1
Time above 250 lx (h),6,1
Time above 250 lx (h),7,1
Time above 250 lx (h),8,1
Time above 250 lx (h),9,1
Time above 250 lx (h),10,1
Time above 250 lx (h),11,1
Time above 250 lx (h),12,1
Time above 250 lx (h),13,1
Time above 250 lx (h),14,1
Time above 250 lx (h),15,1
Time above 250 lx (h),16,1
Time above 250 lx (h),17,1
Time above 250 lx (h),18,1
Time above 250 lx (h),19,1
Time above 250 lx (h),20,1
Time above 250 lx (h),21,1
Time above 250 lx (h),22,1
Time above 250 lx (h),23,1
Time above 250 lx (h),24,1
Time above 250 lx (h),25,1
Time above 250 lx (h),26,1
Time above 250 lx (h),27,1
Time above 250 lx (h),28,1
Time above 250 lx (h),29,1
Time above 250 lx (h),30,1
Time above 250 lx (h),31,1
Time above 250 lx (h),32,1
Time above 250 lx (h),33,1
Time above 250 lx (h),34,1
Time above 250 lx (h),35,1
Time above 250 lx (h),36,1
Time above 250 lx (h),37,1
Time above 250 lx (h),38,1
Time above 250 lx (h),39,1
Time above 250 lx (h),40,1
Time above 250 lx (h),41,1
Time above 250 lx (h),42,1
Time above 250 lx (h),43,1
Time above 250 lx (h),44,1
Time above 250 lx (h),45,1
Time above 250 lx (h),46,1
Time above 250 lx (h),47,1
Time above 250 lx (h),48,1
Time above 250 lx (h),49,1
Time above 250 lx (h),50,1
